CompletionID,UserID,CourseID,CompletionDate,CompletionRate
2,1,1,2024-01-10,100.000000000000
4,2,1,2024-01-15,100.000000000000
6,3,4,2024-01-20,100.000000000000
8,5,2,2024-01-22,100.000000000000
10,7,4,2024-01-25,100.000000000000
12,9,2,2024-01-30,100.000000000000
13,10,3,2024-02-01,100.000000000000
14,1,4,2024-02-02,100.000000000000
16,3,3,2024-02-03,100.000000000000
17,4,1,2024-02-05,100.000000000000
19,6,2,2024-02-07,100.000000000000
21,8,4,2024-02-09,100.000000000000
23,10,2,2024-02-10,100.000000000000
